epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2595.78,1.98921,1.44356,0.97828,0.57973,0.54033,0.56431,0.25365,1.90496,1.52927,1.0014,0.0006932,0.0006932,0.0006932
68,2632.54,1.96223,1.44557,0.99978,0.56273,0.50901,0.53394,0.22479,1.97262,1.5649,1.00622,0.0006734,0.0006734,0.0006734
69,2669.44,1.88267,1.36567,0.98737,0.55636,0.55834,0.55765,0.24606,1.91053,1.51011,0.99987,0.0006536,0.0006536,0.0006536
70,2706.17,1.96727,1.4393,0.97397,0.56879,0.53798,0.55464,0.24816,1.91226,1.53211,1.00158,0.0006338,0.0006338,0.0006338
71,2743.12,1.93473,1.41825,0.99619,0.54436,0.55286,0.54564,0.24983,1.89118,1.53387,0.99601,0.000614,0.000614,0.000614
72,2780.58,1.99212,1.46927,0.98993,0.55377,0.51997,0.52247,0.24143,1.90855,1.57861,1.00446,0.0005942,0.0005942,0.0005942
73,2817.83,1.90809,1.44496,0.98701,0.53234,0.54973,0.53733,0.23765,1.93344,1.56512,1.00464,0.0005744,0.0005744,0.0005744
74,2855.26,1.98141,1.41331,0.9941,0.54825,0.53876,0.54493,0.24354,1.91622,1.5631,0.99704,0.0005546,0.0005546,0.0005546
75,2892.73,1.89865,1.39769,0.97613,0.53156,0.50901,0.51304,0.22037,1.97279,1.60813,1.00131,0.0005348,0.0005348,0.0005348
76,2929.65,1.95819,1.38708,0.98773,0.56765,0.53771,0.54771,0.25231,1.90307,1.52664,0.99462,0.000515,0.000515,0.000515
77,2966.78,1.89257,1.35596,0.97164,0.6001,0.5419,0.56292,0.24803,1.91719,1.5437,0.99485,0.0004952,0.0004952,0.0004952
78,3003.52,1.87919,1.41921,0.97112,0.55954,0.55111,0.54744,0.23946,1.93521,1.59871,0.99923,0.0004754,0.0004754,0.0004754
79,3040.51,1.94572,1.37131,0.96164,0.55758,0.50744,0.52874,0.23604,1.93004,1.63956,0.99868,0.0004556,0.0004556,0.0004556
80,3082.6,1.90429,1.35701,0.98446,0.55229,0.55677,0.55674,0.25336,1.91381,1.55086,0.99587,0.0004358,0.0004358,0.0004358
81,3123.93,1.88482,1.32315,0.97493,0.55948,0.53093,0.54539,0.24215,1.93737,1.58146,0.99889,0.000416,0.000416,0.000416
82,3165.46,1.93117,1.34351,0.97543,0.55415,0.53798,0.54514,0.23809,1.91525,1.53715,0.99766,0.0003962,0.0003962,0.0003962
83,3206.17,1.91651,1.35828,0.98792,0.56071,0.52623,0.54635,0.24089,1.92731,1.51865,1.00031,0.0003764,0.0003764,0.0003764
